title,description,category
Panel PJU terbuka taman,"PJU di Jl. Anggrek 4 padam sejak 14 hari, terutama pada pagi. Menyebabkan area gelap dan membahayakan pejalan kaki. Mohon perbaikan.",LIGHTING
Poster liar dan vandalisme depan masjid,Tumpukan plastik hampir tiap hari tidak diangkut sejak 6 hari. Area RT 03 RW 03 menjadi kotor dan membahayakan pejalan kaki.,CLEANLINESS
Jalan berlubang balai warga,RT 06 RW 05 Jl. Melati 4 di Kel. Anyelir mengalami kerusakan ringan selama 5 hari. Lubang berdiameter 40 cm mengganggu aktivitas warga.,INFRASTRUCTURE
Marka jalan pudar balai warga,RT 02 RW 01 Jl. Melati 3 di Kel. Mawar mengalami kerusakan sedang selama 2 hari. Lubang berdiameter 130 cm mengganggu aktivitas warga.,INFRASTRUCTURE
Tekanan air sangat kecil pasar,Pasokan air bermasalah seminggu sekali sejak 5 hari di Jl. Melati 7. Dampak: membahayakan pejalan kaki. Mohon pengecekan meter/pompa.,UTILITIES
Permintaan pinjam kursi samping pos ronda,Informasi umum: pinjam fasilitas. Lokasi RT 06 RW 03 Kel. Teratai. Mohon tindak lanjut.,OTHER
Kerja bakti rutin gang utama,Mohon dipertimbangkan program taman baca di RT 09 RW 01 Kel. Cempaka untuk mencegah membuat jalan licin.,SUGGESTION
Abu pembakaran sampah mengganggu lapangan komplek,Tumpukan plastik seminggu sekali tidak diangkut sejak 6 hari. Area RT 05 RW 05 menjadi kotor dan rawan kecelakaan.,CLEANLINESS
Lampu jalan mati dekat sekolah,"PJU di Jl. Melati 2 padam sejak 1 hari, terutama pada siang. Menyebabkan area gelap dan mengganggu aktivitas warga. Mohon perbaikan.",LIGHTING
Parkir liar tutup akses balai warga,Kejadian aksi mencurigakan terjadi seminggu sekali pada malam di RT 04 RW 05 Kel. Flamboyan. Kondisi mengundang nyamuk.,SECURITY
Kap lampu pecah lapangan komplek,"PJU di Jl. Anggrek 5 padam sejak 5 hari, terutama pada pagi. Menyebabkan area gelap dan mengakibatkan area gelap. Mohon perbaikan.",LIGHTING
Banjir genangan samping pos ronda,"Setelah hujan 10 hari, saluran mengalami masalah. Terjadi hambatan aliran dan menghambat akses darurat.",ENVIRONMENT
Listrik padam saat hujan jembatan kecil,Pasokan air bermasalah seminggu sekali sejak 2 hari di Jl. Kenanga 5. Dampak: mengundang nyamuk. Mohon pengecekan meter/pompa.,UTILITIES
Permintaan pinjam kursi balai warga,Informasi umum: pinjam fasilitas. Lokasi RT 01 RW 01 Kel. Anyelir. Mohon tindak lanjut.,OTHER
Lampu jalan mati perempatan,"PJU di Jl. Melati 7 padam sejak 6 hari, terutama pada malam. Menyebabkan area gelap dan menghambat akses darurat. Mohon perbaikan.",LIGHTING
Trotoar rusak lapangan komplek,RT 01 RW 05 Jl. Melati 5 di Kel. Flamboyan mengalami kerusakan ringan selama 10 hari. Lubang berdiameter 50 cm menyebabkan banjir kecil.,INFRASTRUCTURE
Jembatan kecil rapuh jembatan kecil,RT 01 RW 05 Jl. Melati 3 di Kel. Teratai mengalami kerusakan parah selama 14 hari. Lubang berdiameter 120 cm menyebabkan bau menyengat.,INFRASTRUCTURE
Listrik padam saat hujan samping pos ronda,Pasokan air bermasalah seminggu sekali sejak 1 hari di Jl. Anggrek 3. Dampak: mengakibatkan area gelap. Mohon pengecekan meter/pompa.,UTILITIES
Poster liar dan vandalisme balai warga,Tumpukan ranting hampir tiap hari tidak diangkut sejak 2 hari. Area RT 04 RW 02 menjadi kotor dan membahayakan pejalan kaki.,CLEANLINESS
Bau comberan lapangan komplek,"Setelah hujan 5 hari, pohon besar mengalami masalah. Terjadi longsor kecil dan membahayakan pejalan kaki.",ENVIRONMENT
Keluhan suara genset samping pos ronda,Informasi umum: pinjam fasilitas. Lokasi RT 04 RW 01 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Lampu jalan mati dekat sekolah,"PJU di Jl. Kenanga 2 padam sejak 6 hari, terutama pada pagi. Menyebabkan area gelap dan mengundang nyamuk. Mohon perbaikan.",LIGHTING
Keluhan suara genset samping pos ronda,Informasi umum: hewan liar masuk rumah. Lokasi RT 03 RW 05 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Kurang tempat sampah jembatan kecil,Tumpukan ranting setiap hari tidak diangkut sejak 1 hari. Area RT 02 RW 02 menjadi kotor dan membuat jalan licin.,CLEANLINESS
Jalan berlubang samping pos ronda,RT 02 RW 05 Jl. Melati 3 di Kel. Flamboyan mengalami kerusakan sedang selama 2 hari. Lubang berdiameter 200 cm menyebabkan banjir kecil.,INFRASTRUCTURE
Eceng gondok menutup kali dekat sekolah,"Setelah hujan 6 hari, tanah tebing mengalami masalah. Terjadi longsor kecil dan mengakibatkan area gelap.",ENVIRONMENT
Kabel listrik semrawut dekat sekolah,Pasokan air bermasalah setiap hari sejak 6 hari di Jl. Melati 3. Dampak: menyebabkan banjir kecil. Mohon pengecekan meter/pompa.,UTILITIES
Permintaan pinjam kursi lapangan komplek,Informasi umum: hewan liar masuk rumah. Lokasi RT 05 RW 01 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Sampah menumpuk balai warga,Tumpukan sampah rumah tangga setiap hari tidak diangkut sejak 3 hari. Area RT 08 RW 04 menjadi kotor dan rawan kecelakaan.,CLEANLINESS
CCTV pos ronda mati depan masjid,Kejadian penjambretan terjadi hampir tiap hari pada pagi di RT 06 RW 01 Kel. Flamboyan. Kondisi rawan kecelakaan.,SECURITY
Paving bergelombang samping pos ronda,RT 09 RW 03 Jl. Anggrek 4 di Kel. Teratai mengalami kerusakan sedang selama 5 hari. Lubang berdiameter 120 cm menyebabkan banjir kecil.,INFRASTRUCTURE
Kurang tempat sampah dekat sekolah,Tumpukan ranting tiap akhir pekan tidak diangkut sejak 1 hari. Area RT 05 RW 04 menjadi kotor dan mengakibatkan area gelap.,CLEANLINESS
Listrik padam saat hujan depan masjid,Pasokan air bermasalah tiap akhir pekan sejak 7 hari di Jl. Anggrek 4. Dampak: mengundang nyamuk. Mohon pengecekan meter/pompa.,UTILITIES
Kucing hilang dicari pemilik jembatan kecil,Informasi umum: pinjam fasilitas. Lokasi RT 04 RW 01 Kel. Anyelir. Mohon tindak lanjut.,OTHER
Panel PJU terbuka pasar,"PJU di Jl. Kenanga 4 padam sejak 2 hari, terutama pada pagi. Menyebabkan area gelap dan mengakibatkan area gelap. Mohon perbaikan.",LIGHTING
Limbah rumah tangga ke parit depan masjid,"Setelah hujan 4 hari, kali mengalami masalah. Terjadi genangan dan menyebabkan banjir kecil.",ENVIRONMENT
Kurang tempat sampah perempatan,Tumpukan daun kering hampir tiap hari tidak diangkut sejak 4 hari. Area RT 04 RW 01 menjadi kotor dan menghambat akses darurat.,CLEANLINESS
Keributan warga mabuk gang utama,Kejadian balap liar terjadi seminggu sekali pada sore di RT 09 RW 05 Kel. Mawar. Kondisi mengakibatkan area gelap.,SECURITY
Bau menyengat dari tumpukan sampah taman,Tumpukan sampah rumah tangga tiap akhir pekan tidak diangkut sejak 6 hari. Area RT 08 RW 05 menjadi kotor dan membuat jalan licin.,CLEANLINESS
Jembatan kecil rapuh jembatan kecil,RT 09 RW 04 Jl. Melati 4 di Kel. Cempaka mengalami kerusakan ringan selama 5 hari. Lubang berdiameter 50 cm rawan kecelakaan.,INFRASTRUCTURE
Keributan warga mabuk perempatan,Kejadian balap liar terjadi hampir tiap hari pada siang di RT 07 RW 04 Kel. Flamboyan. Kondisi menyebabkan bau menyengat.,SECURITY
Keributan warga mabuk taman,Kejadian balap liar terjadi setiap hari pada malam di RT 09 RW 01 Kel. Flamboyan. Kondisi menyebabkan bau menyengat.,SECURITY
Keluhan suara genset taman,Informasi umum: pinjam fasilitas. Lokasi RT 01 RW 04 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Bahu jalan longsor depan masjid,RT 02 RW 01 Jl. Anggrek 1 di Kel. Cempaka mengalami kerusakan ringan selama 4 hari. Lubang berdiameter 80 cm menyebabkan banjir kecil.,INFRASTRUCTURE
Permohonan surat pengantar lapangan komplek,Informasi umum: hewan liar masuk rumah. Lokasi RT 03 RW 05 Kel. Cempaka. Mohon tindak lanjut.,OTHER
Bahu jalan longsor dekat sekolah,RT 01 RW 04 Jl. Melati 4 di Kel. Mawar mengalami kerusakan parah selama 4 hari. Lubang berdiameter 180 cm menyebabkan bau menyengat.,INFRASTRUCTURE
Tiang lampu miring balai warga,"PJU di Jl. Anggrek 4 padam sejak 1 hari, terutama pada siang. Menyebabkan area gelap dan membuat jalan licin. Mohon perbaikan.",LIGHTING
Trotoar rusak jembatan kecil,RT 09 RW 02 Jl. Melati 3 di Kel. Cempaka mengalami kerusakan sedang selama 6 hari. Lubang berdiameter 180 cm menyebabkan bau menyengat.,INFRASTRUCTURE
Lampu jalan mati samping pos ronda,"PJU di Jl. Melati 6 padam sejak 14 hari, terutama pada pagi. Menyebabkan area gelap dan mengakibatkan area gelap. Mohon perbaikan.",LIGHTING
Pohon tumbang/miring taman,"Setelah hujan 3 hari, saluran mengalami masalah. Terjadi genangan dan menghambat akses darurat.",ENVIRONMENT
Tempat sampah terpilah jembatan kecil,Mohon dipertimbangkan program taman baca di RT 06 RW 01 Kel. Anyelir untuk mencegah menyebabkan bau menyengat.,SUGGESTION
Banjir genangan depan masjid,"Setelah hujan 14 hari, tanah tebing mengalami masalah. Terjadi longsor kecil dan rawan kecelakaan.",ENVIRONMENT
Tekanan air sangat kecil samping pos ronda,Pasokan air bermasalah tiap akhir pekan sejak 14 hari di Jl. Melati 4. Dampak: membahayakan pejalan kaki. Mohon pengecekan meter/pompa.,UTILITIES
Poster liar dan vandalisme gang utama,Tumpukan daun kering setiap hari tidak diangkut sejak 6 hari. Area RT 08 RW 01 menjadi kotor dan menyebabkan bau menyengat.,CLEANLINESS
Penambahan CCTV lapangan komplek,Mohon dipertimbangkan program one gate system di RT 03 RW 03 Kel. Mawar untuk mencegah mengundang nyamuk.,SUGGESTION
Permintaan pinjam kursi perempatan,Informasi umum: barang hilang/temuan. Lokasi RT 04 RW 04 Kel. Mawar. Mohon tindak lanjut.,OTHER
Poster liar dan vandalisme samping pos ronda,Tumpukan ranting hampir tiap hari tidak diangkut sejak 5 hari. Area RT 02 RW 01 menjadi kotor dan menghambat akses darurat.,CLEANLINESS
Penerangan taman redup jembatan kecil,"PJU di Jl. Melati 6 padam sejak 7 hari, terutama pada pagi. Menyebabkan area gelap dan menyebabkan banjir kecil. Mohon perbaikan.",LIGHTING
Lampu jalan mati perempatan,"PJU di Jl. Melati 3 padam sejak 7 hari, terutama pada siang. Menyebabkan area gelap dan mengganggu aktivitas warga. Mohon perbaikan.",LIGHTING
Pencurian motor dekat sekolah,Kejadian aksi mencurigakan terjadi tiap akhir pekan pada sore di RT 01 RW 01 Kel. Flamboyan. Kondisi mengakibatkan area gelap.,SECURITY
Kurang tempat sampah perempatan,Tumpukan plastik setiap hari tidak diangkut sejak 6 hari. Area RT 09 RW 05 menjadi kotor dan membahayakan pejalan kaki.,CLEANLINESS
Jembatan kecil rapuh gang utama,RT 01 RW 04 Jl. Anggrek 4 di Kel. Mawar mengalami kerusakan sedang selama 6 hari. Lubang berdiameter 160 cm mengganggu aktivitas warga.,INFRASTRUCTURE
Temuan dompet lapangan komplek,Informasi umum: barang hilang/temuan. Lokasi RT 08 RW 04 Kel. Mawar. Mohon tindak lanjut.,OTHER
Eceng gondok menutup kali balai warga,"Setelah hujan 1 hari, tanah tebing mengalami masalah. Terjadi genangan dan mengakibatkan area gelap.",ENVIRONMENT
Keributan warga mabuk perempatan,Kejadian penjambretan terjadi setiap hari pada malam di RT 05 RW 01 Kel. Mawar. Kondisi membahayakan pejalan kaki.,SECURITY
Trotoar rusak perempatan,RT 07 RW 05 Jl. Melati 1 di Kel. Anyelir mengalami kerusakan sedang selama 10 hari. Lubang berdiameter 20 cm menghambat akses darurat.,INFRASTRUCTURE
Orang asing mencurigakan samping pos ronda,Kejadian penjambretan terjadi seminggu sekali pada pagi di RT 08 RW 05 Kel. Teratai. Kondisi menyebabkan bau menyengat.,SECURITY
Limbah rumah tangga ke parit taman,"Setelah hujan 5 hari, saluran mengalami masalah. Terjadi hambatan aliran dan mengganggu aktivitas warga.",ENVIRONMENT
Parkir liar tutup akses lapangan komplek,Kejadian aksi mencurigakan terjadi seminggu sekali pada malam di RT 09 RW 05 Kel. Cempaka. Kondisi rawan kecelakaan.,SECURITY
Parkir liar tutup akses jembatan kecil,Kejadian pencurian terjadi setiap hari pada malam di RT 07 RW 03 Kel. Cempaka. Kondisi menyebabkan banjir kecil.,SECURITY
